system:index,B2,B3,B4,B5,B6,B7,B8,landcover,ndd,ndsi,ndvi,.geo
2_104_0,906,1068,528,1343,4654,5562,5463,5,0.09665019,-0.4073252,0.8237356,
2_105_0,914,1051,538,1320,3971,4536,4484,5,0.11998216,-0.33523086,0.78574276,
2_106_0,925,1100,549,1400,4429,5077,5065,5,0.10839092,-0.37321937,0.80441755,
2_107_0,1046,1178,692,1456,3878,4558,4387,5,0.15773878,-0.34610048,0.7275054,
2_108_0,918,1110,557,1446,4332,5081,4917,5,0.11328045,-0.3880926,0.7964925,
2_109_0,916,1044,586,1346,4271,5051,4912,5,0.11929967,-0.39809743,0.78683156,
2_110_0,912,962,596,1167,2813,3349,3181,5,0.18736246,-0.34446338,0.6844056,
2_111_0,835,881,448,998,3094,3706,3587,5,0.12489545,-0.34861368,0.777943,
2_112_0,835,819,448,880,2503,3147,3065,5,0.1461664,-0.34453782,0.7449473,
2_113_0,824,831,443,900,2246,2572,2522,5,0.17565425,-0.14241487,0.70118046,
2_114_0,793,714,401,745,2284,2840,2667,5,0.1503562,-0.33950046,0.7385919,
2_115_0,866,846,477,966,2882,3564,3510,5,0.13589744,-0.37402886,0.76072234,
2_116_0,877,882,530,1043,3069,3527,3454,5,0.15344527,-0.33709133,0.7339357,
2_117_0,821,731,483,753,1658,1866,1837,5,0.2629287,-0.19360177,0.58362067,
2_118_0,854,786,486,854,2304,2840,2711,5,0.17926964,-0.30870712,0.695965,
2_119_0,946,927,509,1096,3523,4239,4048,5,0.12574111,-0.39785644,0.7766074,
2_120_0,834,848,455,982,3157,3782,3791,5,0.120021105,-0.3657442,0.78568065,
2_121_0,932,1142,542,1357,4466,5527,5378,5,0.10078096,-0.3302053,0.8168919,
2_122_0,958,1027,717,1324,3072,3525,3556,5,0.20163104,-0.40255964,0.6644044,
2_123_0,888,1009,511,1253,3472,4007,3740,5,0.13663101,-0.25863335,0.759586,
2_124_0,902,966,553,1175,3461,3995,3940,5,0.14035533,-0.35341364,0.7538393,
2_125_0,958,978,589,1160,3131,3653,3475,5,0.1694964,-0.32574975,0.7101378,
2_126_0,882,954,535,1193,3239,3958,3601,5,0.14856984,-0.358224,0.74129593,
2_127_0,884,950,527,1228,3543,4128,3847,5,0.13698986,-0.36772045,0.75903064,
2_128_0,949,1069,669,1410,3736,4304,4149,5,0.16124368,-0.415847,0.7222914,
2_129_0,923,1029,626,1264,2969,3309,3395,5,0.1843888,-0.31536925,0.6886347,
2_130_0,829,789,433,824,2617,3162,3079,5,0.14063008,-0.33613798,0.75341684,
2_131_0,881,942,497,1195,3560,4168,4075,5,0.12196319,-0.38571894,0.7825897,
2_132_0,903,964,554,1230,3487,4204,4079,5,0.1358176,-0.4164649,0.7608461,
2_133_0,810,782,435,891,2504,2862,2817,5,0.1544196,-0.26984128,0.7324723,
2_134_0,775,717,380,712,2057,2299,2230,5,0.17040358,-0.18476407,0.70881224,
2_135_0,724,561,307,426,1293,1497,1439,5,0.21334259,-0.018372703,0.64833903,
2_136_0,822,778,465,904,2332,2749,2636,5,0.17640364,-0.31933507,0.7000967,
2_137_0,802,776,420,937,2815,3249,3147,5,0.13346043,-0.3779559,0.764508,
2_138_0,869,951,505,1237,3922,4952,4853,5,0.104059346,-0.42503023,0.81149685,
2_139_0,824,850,462,994,2934,3551,3429,5,0.13473316,-0.34337583,0.7625289,
2_140_0,793,749,435,961,2914,3442,3011,5,0.14447027,-0.37531278,0.7475334,
2_141_0,829,832,551,1024,2407,2803,2786,5,0.19777459,-0.256479,0.66976327,
2_142_0,788,782,474,919,2462,2937,2843,5,0.1667253,-0.2577124,0.7141996,
2_143_0,773,768,418,946,2467,2919,2931,5,0.14261344,-0.28458315,0.75037324,
2_144_0,761,723,437,866,2230,2821,2614,5,0.16717674,-0.26821864,0.71353656,
2_145_0,770,759,422,917,2660,3269,3223,5,0.13093391,-0.34625322,0.7684499,
2_146_0,810,918,481,1243,3969,4692,4605,5,0.104451686,-0.4027326,0.8108533,
2_147_0,855,1079,532,1556,5106,6189,5988,5,0.08884436,-0.4079561,0.8368098,
2_148_0,772,747,418,931,2580,2878,2830,5,0.14770319,-0.30737135,0.7426108,
2_149_0,762,742,427,892,2448,2952,2866,5,0.14898814,-0.31518227,0.74066204,
2_150_0,784,839,473,1131,3499,4099,3895,5,0.12143774,-0.43973288,0.7834249,
2_151_0,749,745,407,921,2689,3113,3035,5,0.13410214,-0.31082332,0.7635096,
2_152_0,749,688,405,796,2103,2443,2326,5,0.17411865,-0.24849808,0.7034053,
2_153_0,762,746,422,921,2472,2891,2811,5,0.1501245,-0.31653687,0.73894215,
2_154_0,678,545,322,503,1201,1417,1323,5,0.24338624,0.027332705,0.6085106,
2_155_0,751,704,409,795,2209,2674,2576,5,0.15877329,-0.2454448,0.7259632,
2_156_0,739,686,389,810,2265,2623,2478,5,0.15698144,-0.2763713,0.7286362,
2_157_0,729,720,391,834,2220,2574,2624,5,0.14900915,-0.26191697,0.7406302,
2_158_0,736,685,426,770,2005,2368,2304,5,0.18489583,-0.20991926,0.6879121,
2_159_0,763,716,452,817,2087,2491,2365,5,0.1911205,-0.29803923,0.6790912,
2_160_0,803,788,511,990,2237,2579,2560,5,0.19960937,-0.3468711,0.6672094,
2_161_0,753,706,430,836,2226,2694,2537,5,0.16949153,-0.29152033,0.71014494,
2_162_0,749,777,443,1043,2871,3279,3275,5,0.13526717,-0.3316129,0.76169986,
2_163_0,749,701,481,910,2030,2383,2225,5,0.21617977,-0.34363297,0.6444937,
2_164_0,786,775,574,1056,2173,2500,2462,5,0.23314379,-0.35577723,0.6218709,
2_165_0,818,840,609,1104,2191,2491,2521,5,0.2415708,-0.34553954,0.6108626,
2_166_0,789,867,526,1269,3256,3684,3746,5,0.14041644,-0.4212283,0.7537453,
2_167_0,749,865,467,1252,3434,3932,3862,5,0.120921806,-0.34667674,0.7842458,
2_168_0,743,738,439,946,2668,3212,3177,5,0.13818067,-0.28592163,0.7571903,
2_169_0,726,713,423,901,2341,2770,2704,5,0.15643491,-0.3057449,0.72945315,
2_170_0,747,779,459,1056,2803,3209,3138,5,0.14627151,-0.396358,0.74478734,
2_171_0,822,814,628,1168,2471,2825,2877,5,0.21828294,-0.40103018,0.6416548,
2_172_0,811,877,566,1241,2889,3308,3230,5,0.1752322,-0.44405705,0.70179135,
2_173_0,748,791,466,1021,2582,3034,2984,5,0.15616623,-0.3192771,0.72985506,
2_174_0,747,760,446,946,2551,2917,2927,5,0.15237445,-0.35208866,0.735547,
2_175_0,756,736,473,957,2197,2551,2531,5,0.18688266,-0.34197587,0.68508655,
2_176_0,714,640,411,755,1931,2210,2179,5,0.18861863,-0.25451368,0.6826255,
2_177_0,737,706,449,850,2264,2791,2724,5,0.16483113,-0.28215557,0.7169871,
2_178_0,818,882,559,1217,2982,3388,3348,5,0.16696535,-0.42334095,0.7138469,
2_179_0,762,675,508,906,2011,2246,2026,5,0.25074038,-0.3147208,0.5990529,
2_180_0,755,710,479,894,2132,2477,2483,5,0.1929118,-0.3289225,0.6765699,
2_181_0,759,877,482,1208,3199,3647,3652,5,0.13198248,-0.41533333,0.7668118,
2_182_0,832,840,599,1179,2769,3288,3320,5,0.18042168,-0.42740285,0.6943098,
2_183_0,756,745,464,945,2057,2323,2309,5,0.2009528,-0.31114194,0.6653444,
2_184_0,731,724,418,948,2395,2716,2662,5,0.1570248,-0.30883056,0.7285714,
2_185_0,749,811,438,1057,2778,3217,3163,5,0.13847613,-0.37471086,0.75673425,
2_186_0,767,749,485,966,2323,2652,2580,5,0.1879845,-0.30999538,0.68352365,
2_187_0,736,691,418,786,2120,2494,2515,5,0.16620278,-0.23982398,0.7149676,
2_188_0,723,672,398,794,2088,2434,2408,5,0.1652824,-0.24366911,0.7163222,
2_189_0,786,884,463,1214,3426,4037,4008,5,0.115518965,-0.37658674,0.7928875,
2_190_0,784,839,476,1157,3212,3761,3806,5,0.12506568,-0.4181692,0.77767396,
2_191_0,739,699,396,863,2398,2806,2591,5,0.15283674,-0.2827091,0.734851,
2_192_0,1020,1304,779,1888,4850,5658,5671,5,0.13736555,-0.44190028,0.7584496,
2_193_0,1167,1373,996,1927,4202,4746,4774,5,0.20863008,-0.38581973,0.654766,
2_194_0,829,828,539,1016,2534,2979,2987,5,0.1804486,-0.2603841,0.69427115,
2_195_0,815,865,515,1098,2960,3423,3433,5,0.15001456,-0.29301184,0.7391084,
2_196_0,800,846,489,1113,3102,3650,3589,5,0.13624965,-0.28335452,0.76017654,
2_197_0,792,807,483,1059,2884,3320,3376,5,0.14306872,-0.30340958,0.7496761,
2_198_0,802,879,498,1165,3359,3896,3806,5,0.13084604,-0.3734854,0.76858735,
2_199_0,799,826,488,1065,2909,3451,3302,5,0.14778922,-0.2814267,0.7424802,
